Idx	Group	Index	Name	Color	Unk1	Unk2	Unk3	iInfoLine_1	Unk4	iInfoLine_2	Unk5	iInfoLine_3	Unk6	iInfoLine_4	Unk7	iInfoLine_5	Unk8	iInfoLine_6	Unk9	iInfoLine_7	Unk10	iInfoLine_8	Unk11	iInfoLine_9	Unk12	iInfoLine_10	Unk13	iInfoLine_11	Unk14	iInfoLine_12	Unk15	iInfoLine_13	Unk16	iInfoLine_14	Unk17	iInfoLine_15	Unk18
40	0	44	Bloodangel Magic Sword	256	0	1	-1	0	0	1153	1	1154	1	1155	1	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257
41	0	46	Bloodangel Claws	256	0	1	-1	0	0	1153	1	1154	1	1155	1	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0
42	0	48	[Bound] Sword of Destruction	267	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	581	259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
43	0	49	[Bound] Thunder Blade	267	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	581	259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
44	0	50	[Bound] Holy Storm Claws	267	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	581	259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
45	0	51	Blessed Divine Sword of Archangel	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
46	0	52	Pantera Claws	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
47	0	53	Devast Claws	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
48	0	54	Darkangel Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
49	0	55	Darkangel Magic Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
50	0	56	Darkangel Claws	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
51	0	57	Holyangel Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
52	0	58	Holyangel Magic Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
53	0	59	Holyangel Claws	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
54	0	60	Absolute Claw of Archangel	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
55	0	61	Blessed Archangel's Absolute Claws	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
56	0	62	Soul Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
57	0	63	Magic Soul Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
58	0	64	Soul Claws	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
59	0	65	[Bound] Cookery Short Sword	267	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	581	259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
60	0	66	Flat Short Sword	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
61	0	67	Dacia Short Sword	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
62	0	68	Cookery Short Sword	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
63	0	69	Paring Short Sword	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
64	0	70	Novakura Short Sword	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
65	0	71	Bloodangel Short Sword	256	0	1	-1	0	0	1153	1	1154	1	1155	1	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0
66	0	72	Darkangel Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
67	0	73	Holyangel Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
68	0	74	Soul Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
69	0	75	Blue Eye Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
70	0	76	Divine Short Sword of Archangel	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
71	0	77	Blessed Archangel's Absolute Short Sword	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
72	0	78	Blue Eye Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
73	0	79	Blue Eye Magic Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
74	0	80	Blue Eye Claw	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
75	0	81	Silver Heart Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
76	0	82	Silver Heart Magic Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
77	0	83	Silver Heart Claws	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
78	0	84	Silver Heart Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
79	0	85	Manticore Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
80	0	86	Manticore Magic Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
81	0	87	Manticorclaw	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
82	0	88	Manticore Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
83	0	89	Blood Angel Magic Two Hand Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
84	0	90	Dark Angel Magic Two Hand Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
85	0	91	Holy Angel Magic Two Hand Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
86	0	92	Soul Magic Two Hand Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
87	0	93	Blue Eye Magic Two Hand Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
88	0	94	Silver Heart Magic Two Hand Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
89	0	95	Manticore Magic Two-Handed Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
90	0	96	Brilliant Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	1170	0	1171	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
91	0	97	Brilliant Magic Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
92	0	98	Brilliant Claw	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
93	0	99	Brilliant Short Sword	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
94	0	100	Brilliant Magic Two-Handed Sword	256	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0
95	0	101	Silver Blade	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
96	0	102	Xeno Blade	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
97	0	103	Dragon Blade	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
98	0	104	Blood Blade	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
99	0	105	Blood Angel Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
100	0	106	Dark Angel Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
101	0	107	Holy Angel Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
102	0	108	Soul Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
103	0	109	Blue Eye Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
104	0	110	Silver Heart Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
105	0	111	Manticore Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
106	0	112	Brilliant Blade	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
107	0	113	Archangel's Absolute Blade	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
108	0	114	Blessed Archangel's Absolute Blade	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
109	0	115	[Bound] Xeno Blade	267	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	581	259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
110	1	0	Small Axe	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
111	1	1	Hand Axe	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
112	1	2	Double Axe	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
113	1	3	Tomahawk	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
114	1	4	Elven Axe	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
115	1	5	Battle Axe	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
116	1	6	Nikea Axe	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
117	1	7	Larkan Axe	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
118	1	8	Crescent Axe	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
119	2	0	Mace	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
120	2	1	Morning Star	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
121	2	2	Flail	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
122	2	3	Great Hammer	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
123	2	4	Crystal Morning Star	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
124	2	5	Crystal Sword	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
125	2	6	Chaos Dragon Axe	256	0	1	-1	1	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
126	2	7	Elemental Mace	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
127	2	8	Battle Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
128	2	9	Master Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
129	2	10	Great Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
130	2	11	Lord's Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
131	2	12	Great Lord's Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
132	2	13	Divine Scepter of the Archangel	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
133	2	14	Soleil Scepter	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0
134	2	15	Shining Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
135	2	16	Frost Mace	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
136	2	17	Absolute Scepter	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0
137	2	18	Striker Scepter	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
138	2	19	Thunderbolt	268	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0
139	2	20	Horn of Steal	268	0	1	-1	1	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
140	2	22	Bloodangel Scepter	256	0	1	-1	0	0	1153	1	1154	1	1155	1	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0
141	2	24	[Bound] Lord's Scepter	267	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	21	257	581	259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
142	2	25	Blessed Divine Scepter of Archangel	262	0	1	-1	0	1	6	0	8	0	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
143	2	26	Darkangel Scepter	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0
144	2	27	Holyangel Scepter	256	0	1	-1	0	0	6	0	8	0	9	0	10	2	11	0	12	2	13	0	14	2	21	257	-1	0	-1	0	-1	0	-1	0	-1	0
145	2	28	Elemental Rune Mace	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0	-1	0	-1	0
146	2	29	El Hazard Mace	256	0	1	-1	0	0	6	0	8	0	11	0	12	2	13	0	14	2	17	0	18	2	22	257	-1	0	-1	0	-1	0	-1	0	-1	0
