******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27
	17	17	Heart of a Dark Lord	3	1	1	0	40	0	286	2	196	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	18	18	Lucky Blue Pouch	3	1	1	0	290	0	291	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	19	19	Lucky Red Pouch	3	1	1	0	40	0	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	20	20	Town Portal Scroll	0	1	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	21	21	Lorencia Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	22	22	Noria Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	23	23	Devias Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	24	24	Dungeon Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	25	25	Atlans Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	26	26	Lost Tower Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	27	27	Tarkan Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	28	28	Icarus Warp Scroll	0	1	0	0	292	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	29	29	Zen	0	1	0	0	188	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	30	30	Heart	0	1	0	0	188	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	31	31	ENG Fruit	3	1	0	0	293	0	298	0	96	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	32	32	STA Fruit	3	1	0	0	294	0	299	0	96	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	33	33	AGI Fruit	3	1	0	0	295	0	300	0	96	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	34	34	STR Fruit	3	1	0	0	296	0	301	0	96	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	35	35	Cmd Fruit	3	1	0	0	297	0	302	0	96	5	98	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	36	36	Loch's Feather	3	1	0	0	303	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	37	37	Monarch's Crest	3	1	0	0	304	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	38	38	Rena	3	1	1	0	349	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	39	39	Stone	3	1	1	0	305	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	40	40	Stone of Friendship	3	1	1	0	306	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	41	41	Sign of the Lord	3	1	0	0	307	0	2	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	42	42	Absolute Staff of the Archangel	0	1	1	0	195	0	344	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	43	43	Absolute Sword of the Archangel	0	1	1	0	195	0	344	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	44	44	Absolute Crossbow of the Archangel	0	1	1	0	195	0	344	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	45	45	Wizard's Ring	3	1	1	0	8	0	68	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	46	46	Champion's Ring	3	1	1	0	308	0	196	2	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	47	47	Warrior's Ring	3	1	1	0	309	0	196	2	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	48	48	Ring of Glory	3	1	0	0	8	0	68	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	49	49	Potion of Blessing	0	1	0	0	310	5	311	5	312	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	50	50	Potion of soul	0	1	0	0	313	5	314	5	348	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	51	51	Archer	0	1	0	0	346	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	52	52	Spearman	0	1	0	0	347	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	53	53	Guardian's Scroll	0	1	0	0	315	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	54	54	Place Life Stone	0	1	0	0	316	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	55	55	Ale	0	1	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	56	56	Olive of Love	0	1	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	57	57	Soul of a Darkhorse	0	1	0	0	317	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	58	58	Soul of a Darkspirit	0	1	0	0	318	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	59	59	Gem of Mystery	3	1	0	0	287	0	319	0	289	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	60	60	Red Crystal	3	1	0	0	320	0	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	61	61	Blue Crystal	3	1	0	0	320	0	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	62	62	Black Crystal	3	1	0	0	320	0	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	63	63	Treasure Box	3	1	0	0	40	0	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	64	64	Gift of Fate	3	1	0	0	40	0	197	2	286	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	65	65	Pink Chocolate Box	0	1	0	0	205	6	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	66	66	Lilac Candy Box	0	1	0	0	205	6	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	67	67	Red Chocolate Box	0	1	0	0	205	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	68	68	Orange Candy Box	0	1	0	0	205	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	69	69	Blue Chocolate Box	0	1	0	0	205	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	70	70	Navy Candy Box	0	1	0	0	205	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	71	71	Love Remedy	0	1	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	72	72	Anniversary Box +1	0	1	1	0	40	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	73	73	Anniversary Box +2	0	1	1	0	40	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	74	74	Anniversary Box +3	0	1	1	0	40	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	75	75	Anniversary Box +4	0	1	1	0	40	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	76	76	Anniversary Box +5	0	1	1	0	40	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	77	77	Talisman of Mobility	0	1	1	0	115	1	-1	0	328	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	78	78	Talisman of Mobility +1	0	1	1	0	115	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	79	79	Talisman of Mobility +2	0	1	1	0	115	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	80	80	Bolt	0	1	0	0	2	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	81	81	Bolt +1	0	1	0	0	2	0	324	1	327	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	82	82	Bolt +2	0	1	0	0	2	0	325	1	327	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	83	83	Bolt +3	0	1	0	0	2	0	326	1	327	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	84	84	Arrow	0	1	0	0	2	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	85	85	Arrow +1	0	1	0	0	2	0	324	1	327	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	86	86	Arrow +2	0	1	0	0	2	0	325	1	327	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	87	87	Arrow +3	0	1	0	0	2	0	326	1	327	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	88	88	Horn of Fenrir	0	1	0	0	174	1	495	1	56	0	9	0	10	2	329	1	330	3	177	1	-1	0	-1	0	-1	0
	89	89	Horn of Fenrir +Destroy	0	1	0	0	174	1	495	1	56	0	9	0	10	2	329	1	332	1	25	1	330	3	177	1	-1	0
	90	90	Horn of Fenrir +Protect	0	1	0	0	174	1	495	1	56	0	9	0	10	2	329	1	350	1	25	1	330	3	177	1	-1	0
	91	91	Horn of Fenrir +Illusion	0	1	0	0	174	1	495	1	56	0	9	0	10	2	329	1	334	1	335	1	336	4	330	3	177	1
	92	92	Budge Dragon Transformation Ring	0	1	0	0	61	0	9	0	10	2	60	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	93	93	Giant Transformation Ring	0	1	0	0	61	0	9	0	10	2	60	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	94	94	Skeleton Warrior Transformation Ring	0	1	0	0	61	0	9	0	10	2	60	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	95	95	Poison Bull Fighter Transformation Ring	0	1	0	0	61	0	9	0	10	2	60	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	96	96	Thunder Lich Transformation Ring	0	1	0	0	61	0	9	0	10	2	60	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	97	97	Death Cow Transformation Ring	0	1	0	0	61	0	9	0	10	2	60	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	98	98	Goblin Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	99	99	Stone Golem Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	100	100	Assassin Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	101	101	Elite Yeti Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	102	102	Dark Knight Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	103	103	Bali Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	104	104	Soldier Summoning Orb	0	1	0	0	17	0	18	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
	105	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	106	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	107	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	108	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	109	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	110	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	111	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	112	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	113	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	114	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	115	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	116	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	117	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	118	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	119	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	120	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	121	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	122	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	123	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	124	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	125	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	126	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	127	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
